id,name,neighborhood_overview,host_id,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
1403364,Boat in Rotterdam · ★4.69 · 1 bedroom · 1 bed · 1 bath,Trendy and dynamic neighbourhood 'Witte de Wihtstraat' is just around the corner.<br />Supermarket SPAR  5 minutes walking.<br />there are lots of things to do here close by.,7574324,7/18/2013,"Dear Guests,

From the first of July 2021 Im the new owner of the ship MS Veinard in Rotterdam. 
Because for my work as fine artist and Polar expedition photographer I'm not always around. Michiel from rhBnB (Rotterdam Host BnB) is the host. If you plan to stay on the MS Veinard he will be your contact person,  receive you and can answer all your questions.

This kind of ship is called a Spits. She is build in Belgium in 1913 and 38.40 meter long and 5.04 meter wide.
From 1948 the ships name is Veinarrd, what ‘Lucky one’ means (bofkont in Dutch).

You are very welcome on the MS VEINARD surrounded by the vibrant city of Rotterdam. 

Esther
",within an hour,100%,100%,t,3,t,t,Stadsdriehoek,Boat,Entire home/apt,2,1 bath,1,[],$80.00 ,2,7,555,4.69,4.75,4.77,4.8,4.79,4.88,4.61,t,4.5
1419544,Rental unit in Rotterdam · ★4.25 · 2 bedrooms · 2 beds · 1.5 baths,"Teilingerstraat is a quiet, lush, lovely street with neighborhood restaurants, bar and convenience stores. The street has a wide pedestrian area covered by trees and ideal for sit outs.",52802754,12/30/2015,,N/A,N/A,N/A,f,1,t,t,Agniesebuurt,Entire rental unit,Entire home/apt,2,1.5 baths,2,[],$75.00 ,56,60,20,4.25,4.15,3.7,4.5,4.35,4.75,4.15,f,0.2
1436796,Hostel in Rotterdam · ★4.79 · 1 bedroom · 8 beds · 3 shared baths,"You won’t find us on a busy bar street — at Ani&Haakien you’ll get a good night’s sleep - but no worries, the young and bustling Central District area of Rotterdam with good coffee places, awesome design shops, rooftop bars, jazz and the electronic night life is just a dance away! So, forget about walking around with your heavy bag… drop it at the hostel, and let us tell you all about the cool stuff to do in Rotterdam. Hostel Ani & Haakien is the perfect hub for day trips! Just 10min to Delft / 40min to Amsterdam / 40min to Utrecht and 20min to The Hague!",7718807,7/25/2013,We are Joyce & Danielle who run this cute small hostel in the centre of rotterdam already for 10 years :))) Both born and raised in Rotterdam and together with our superteam we love to welcome all travellers who like to get to know this awesome city!,within a few hours,100%,49%,f,5,t,t,Cs Kwartier,Shared room in hostel,Shared room,8,3 shared baths,8,[],$35.00 ,1,1125,56,4.79,4.82,4.73,4.82,4.84,4.91,4.73,f,0.59
1439548,Hostel in Rotterdam · ★4.72 · 1 bedroom · 12 beds · 1.5 shared baths,"You won’t find us on a busy bar street — at Ani&Haakien you’ll get a good night’s sleep<br />But no worries, the young and bustling Central District area of Rotterdam with good coffee places, awesome design shops and bars are really nearby! Drop your heavy bags at the hostel, and let us tell you all about the cool stuff to do in Rotterdam. Hostel Ani & Haakien is the perfect hub for day trips! Just 10min to Delft / 40min to Amsterdam / 40min to Utrecht and 20min to The Hague!",7718807,7/25/2013,We are Joyce & Danielle who run this cute small hostel in the centre of rotterdam already for 10 years :))) Both born and raised in Rotterdam and together with our superteam we love to welcome all travellers who like to get to know this awesome city!,within a few hours,100%,49%,f,5,t,t,Oude Westen,Shared room in hostel,Shared room,12,1.5 shared baths,12,[],$35.00 ,1,31,167,4.72,4.78,4.75,4.83,4.84,4.81,4.7,f,1.33
1504950,Barn in Rotterdam · ★4.90 · 2 bedrooms · 4 beds · 1.5 baths,"Het Guesthouse is gelegen aan de rand van het Schiebroekse park waar je heerlijk kunt wandelen, hardlopen en fietsen. Families met kleine kinderen vinden op loopafstand van Guesthouse familiepark Plaswijckpark! In Rotterdam Hillegersberg zijn tal van leuke winkels en restaurantjes te vinden.",8040675,8/9/2013,Sinds 2011 zijn wij samen met onze twee jongens de bewoners van dit bijzondere stukje in Rotterdam. Wij hebben tijdens de verbouwing van de oude veenboerderij een kleine twee jaar met heel veel plezier in onze hooimijt gewoond. Deze hooimijt hebben wij verbouwd tot een heerlijk luxe Guesthouse. Graag willen wij reizigers laten genieten van dit bijzondere stukje Rotterdam! Wij hopen jullie in ons Guesthouse te mogen ontvangen!,within a day,100%,81%,t,1,t,t,Hillegersberg Noord,Barn,Entire home/apt,5,1.5 baths,4,[],$138.00 ,7,1125,124,4.9,4.93,4.92,4.91,4.95,4.84,4.76,f,1.11
1634923,Houseboat in Rotterdam · ★4.74 · 1 bedroom · 1 bed · 1 bath,Trendy and dynamic neighbourhood 'Witte de Withstraat' is just around the corner.<br />Supermarket SPAR  5 minutes walking.<br />there are lots of things to do in this area..,7574324,7/18/2013,"Dear Guests,

From the first of July 2021 Im the new owner of the ship MS Veinard in Rotterdam. 
Because for my work as fine artist and Polar expedition photographer I'm not always around. Michiel from rhBnB (Rotterdam Host BnB) is the host. If you plan to stay on the MS Veinard he will be your contact person,  receive you and can answer all your questions.

This kind of ship is called a Spits. She is build in Belgium in 1913 and 38.40 meter long and 5.04 meter wide.
From 1948 the ships name is Veinarrd, what ‘Lucky one’ means (bofkont in Dutch).

You are very welcome on the MS VEINARD surrounded by the vibrant city of Rotterdam. 

Esther
",within an hour,100%,100%,t,3,t,t,Stadsdriehoek,Houseboat,Entire home/apt,2,1 bath,1,[],$79.00 ,2,7,263,4.74,4.8,4.78,4.83,4.8,4.92,4.63,f,2.71
1705269,Condo in Rotterdam · ★4.63 · 1 bedroom · 1 bed · 1.5 baths,"I'm located in Rotterdam West, at about a 5-minute bike ride away from the Central Station and about 10 minutes from downtown Rotterdam. It's a great neighborhood with an excellent mix of residential and commercial areas,  lots of young families, creatives, and people from all over. There's plenty of green space around, as well as nice restaurants and bars all within walking and biking distance.",9001123,9/23/2013,"I'm a philosophy professor at the university of Rotterdam who spends a lot of time travelling. I'm very easy going, independent, tidy, humorous and, although I'm generally very busy and often abroad, I like having people over.",N/A,N/A,50%,f,1,t,t,Nieuwe Westen,Entire condo,Entire home/apt,1,1.5 baths,1,[],,21,130,19,4.63,4.67,4.61,4.94,5,4.83,4.44,f,0.15
1790922,Rental unit in Rotterdam · ★4.32 · 1 bedroom · 1 bed · 1 bath,,9396518,10/13/2013,,within an hour,90%,100%,f,1,t,t,Tarwewijk,Entire rental unit,Entire home/apt,2,1 bath,1,[],$103.00 ,1,1125,25,4.32,4.28,4.52,4.92,4.76,4.48,4.12,t,3.44
1839719,Boat in Rotterdam · ★4.87 · 8 bedrooms · 22 beds · 3 baths,"Het historisch scheepvaartkwartier is een mooi dorp in Rotterdam centrum.<br />Prachtige uitzichten, veel groen, fijn wandelen en uitgaan.",9614440,10/24/2013,"Uw gastheer is familievader en voert als kapitein samen met vrouw en zonen de zeilrederij Vof Europe Sailing.
Ik woon met familie nabij de te verhuren zeilschepen 'Luciana', 'Catherina' en 'Marie Galant' in de Veerhaven op ons woon/vergaderschip de 'Schoneveld'.
Mijn favoriete reisbestemmingen zijn de te bezeilen landen als Noorwegen, Deense eilanden, Oost en Noordzeekusten en Gomera, La Palma en El Hierro.
Ik heb weinig tijd voor boeken, maar lees graag reisverhalen en (maritieme)geschiedenis.
Mijn vrouw en ik gaan graag met het hele gezin naar de bioscoop.
Ik ben graag gastheer en stel het op prijs vooraf met de klant overleg te voeren, kennis te maken en te peilen wat verlangd wordt.
Bij een verblijf op een schip gaat veiligheid voor alles en dus ben ik dag en nacht mobiel bereikbaar.
Mijn levensmotto is dat wat ik in werktijd mag doen mijn hobby is!


",within an hour,100%,97%,f,3,t,t,Nieuwe Werk,Boat,Entire home/apt,16,3 baths,22,[],$525.00 ,2,30,53,4.87,4.75,4.55,4.79,4.94,5,4.75,f,0.58
2007748,Rental unit in Rotterdam · ★4.81 · 2 bedrooms · 2 beds · 1.5 baths,"Lots of water, ports, activities. Architectual area. very central, lovely parc behind the building.",10333630,11/29/2013,"I am Dieter, feel free to contact me.",N/A,N/A,0%,f,1,t,t,Afrikaanderwijk,Entire rental unit,Entire home/apt,4,1.5 baths,2,[],,121,730,21,4.81,4.71,4.71,4.9,4.81,4.86,4.62,f,0.17
2097520,Rental unit in Rotterdam · ★4.77 · 1 bedroom · 2 beds · 1 bath,"ACTIVITIES<br />Rotterdam knows lots of summer festivals and other outings. Especially the smaller festivals are a good occasion to come to Rotterdam and stay at our B & B. In the mini apartment you will find all kinds of brochures, a map of Rotterdam and a calendar with lots of activities. In the park Heemraadsingel, around the corner from Casa La Rosa, the Singelding is located, a cozy place to drink a cup of coffee or to take part to the activities it organizes. In addition, keep yourself up to date with the workshops on healthy cooking that Fabiana organizes through her blog byebyesalsiccia.",10698794,12/18/2013,We are a Dutch Italian family with two young kids.,N/A,N/A,100%,f,1,t,t,Nieuwe Westen,Entire rental unit,Entire home/apt,2,1 bath,2,[],$78.00 ,10,1125,202,4.77,4.85,4.71,4.88,4.92,4.59,4.74,f,1.68
2211519,Rental unit in Rotterdam · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,"Welcome to Rubroek, the hidden gem of Rotterdam that's just waiting for you to explore its delights. Get ready to immerse yourself in my neighbourhood where creativity, vintage charm and urban energy converge into a symphony of awesomeness.<br />As you stroll through the streets, you'll find artisinal coffee shops that rival the coolest cafes in the world. Grab a cup of meticulously brewed coffee or a unique herbal tea blend, and take a seat at a wooden table that's practically begging for your indie novel or sketchbook.<br />Vitage affecionados, this neighbourhood has your name written all over it. Explore thrift stores and boutiques that are filled with retro treasures waiting to be discovered.<br />And when the sun sets, the energy of Rubroek transforms yet again.<br />Imagine trendy eateries illuminated by fairy lights, bustling with laughter and conversation. Try unique fusion cuisine or savor artsanal pizza.<br />( list included in house manual).",11266043,1/13/2014,,N/A,N/A,100%,f,1,t,t,Oude Noorden,Entire rental unit,Entire home/apt,2,1.5 baths,1,[],,2,2,67,4.88,4.94,4.88,4.93,4.97,4.9,4.84,f,0.57
2317332,Rental unit in Rotterdam · ★4.87 · 2 bedrooms · 4 beds · 1.5 baths,"The neighbourhood is multi cultural with a wide variety of shops, restaurants and take aways. <br />People are easy going and my quests are mostly positive surpriced.",11834678,2/1/2014,"During my worldtrip in 2011, I got the idea to start a B&B. I try to give my guests a ""feel free"" feeling and give them information about the house and city.
Since July 2012 it was immediately a succes for travelers and expats. I like to meet different people from different countries.

TRAVELING IS A WAY OF LIVE",within an hour,100%,97%,t,1,t,t,Spangen,Entire rental unit,Entire home/apt,5,1.5 baths,4,[],$90.00 ,1,60,387,4.87,4.89,4.85,4.95,4.94,4.77,4.78,f,3.68
2417980,Bed and breakfast in Rotterdam · ★4.90 · 1 bedroom · 2 beds · 1 shared bath,,12357210,2/18/2014,"Vindt het leuk om te zorgen voor mensen, en ze te verrassen met een mooi ontbijt",within an hour,100%,100%,t,1,t,t,Overschie,Private room in bed and breakfast,Private room,2,1 shared bath,2,[],$75.00 ,2,60,217,4.9,4.9,4.92,4.96,4.96,4.85,4.9,f,1.83
2692286,Townhouse in Rotterdam · ★4.87 · 2 bedrooms · 1 bed · 1 shared bath,Nice and quiet with free parking.,13768594,4/1/2014,Ik kom van Rotterdam Centrum maar ben verhuisd en woon nu iets buiten het centrum. Nesselande is mooi en ik geniet van het uitzicht. Door airbnb ontmoet ik mensen van over de hele wereld. Momenteel is het voor mij niet mogelijk om te reizen maar door Airbnb komt de wereld naar mij toe. Het trekt erg leuke mensen aan.,within an hour,100%,80%,t,2,t,t,Nesselande,Private room in townhouse,Private room,1,1 shared bath,1,[],$55.00 ,2,31,62,4.87,4.8,4.93,4.93,4.97,4.7,4.78,f,0.53
3461082,Rental unit in Rotterdam · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,"The apartment is very close to the Kralingse Plas, a very nice part of Rotterdam. Here you also have good restaurants and hangouts.",4932763,2/1/2013,"Nice to meet you! My name is Evelien. I love to travel, you will see it in my house. When travelling I take special items back home. I live in Rotterdam for 7 years, so I know the city quite well. Don´t hesitate to ask me for nice restaurants and other hotspots! Hope to see you soon!",within a day,100%,0%,f,2,t,t,Kralingen Oost,Entire rental unit,Entire home/apt,2,1.5 baths,1,[],$70.00 ,180,365,16,4.75,4.81,4.69,4.69,4.75,4.56,4.63,f,0.14
3561821,Rental unit in Rotterdam · ★4.42 · 2 bedrooms · 3 beds · 3 baths,"The area is conveniently closed to the Main Central Station and to the city center. If you have a car, access to and from main highways is fast and well indicated. There is plenty of green in the surroundings and the people are friendly.",6052050,4/23/2013,Enthusiastic Traveler :),within a few hours,100%,0%,f,1,t,t,Cs Kwartier,Entire rental unit,Entire home/apt,2,3 baths,3,[],$86.00 ,60,240,12,4.42,4.25,4.08,4.92,4.92,5,4.08,f,0.12
3628774,Rental unit in Rotterdam · ★4.73 · 3 bedrooms · 3 beds · 1.5 shared baths,,7395931,7/10/2013,"Hello I am Gilles from Rotterdam.
I love live and like to travel when it is possible and visit nice places in this world..",N/A,N/A,N/A,f,4,t,t,Kralingen West,Private room in rental unit,Private room,2,1.5 shared baths,3,[],,1,1125,37,4.73,4.78,4.68,4.78,4.89,4.84,4.76,t,0.32
3670038,Rental unit in Rotterdam · ★4.60 · 2 bedrooms · 4 beds · 2.5 baths,"location in the middle of the center. near all restaurants, shops and bars.<br />but the street is not very busy, perfect if you travel with your children.<br />There is a garden and a children's playground.",17799395,7/8/2014,ben beeldend kunstenaar geboren in Reeuwijk in het groene hart van Holland. ik schilder en maak keramiek en mijn werk is ook thuis te zien. ,within an hour,90%,99%,t,3,t,t,Dijkzigt,Entire rental unit,Entire home/apt,4,2.5 baths,4,[],$211.00 ,2,1125,369,4.6,4.64,4.46,4.9,4.88,4.88,4.58,f,3.22
3856476,Loft in Rotterdam · ★4.66 · 1 bedroom · 2 beds · 1 bath,"The apartment is located in a lively shopping street. Shops, supermarkets, and bistro's are very close by (50 m), open 7 days per week till 9 PM. You can do your laundry two doors down the road. <br />Close to Rotterdam Ahoy, which is famous for events, congresses, exhibitions and concerts.",19894111,8/12/2014,,within an hour,100%,100%,f,8,t,t,Hillesluis,Entire loft,Entire home/apt,3,1 bath,2,[],$79.00 ,2,1125,743,4.66,4.78,4.78,4.89,4.89,4.35,4.69,f,6.57
3868358,Rental unit in Rotterdam · ★4.72 · 1 bedroom · 2 beds · 1 bath,"Shops, supermarkets, and bistro's are very closeby. You can do your laundry two doors down the road. Close to Rotterdam Ahoy, which is famous for events, congresses, exhibitions and concerts.  Direct connection by tram to the City Centre.",19894111,8/12/2014,,within an hour,100%,100%,f,8,t,t,Hillesluis,Entire rental unit,Entire home/apt,3,1 bath,2,[],$76.00 ,2,1125,688,4.72,4.86,4.81,4.9,4.9,4.43,4.73,f,6.56
3885640,Rental unit in Rotterdam · ★4.32 · 1 bedroom · 2 beds · 1.5 baths,"Onze BNB ligt in Rotterdam Noord, dat is een gezellige buurt met veel restaurants en een aantal eetcafe’s.<br />Tram en trein op loopafstand.",20096660,8/16/2014,Vooral zijn we nieuwsgierig naar jullie reizen en ervaringen. Ook vinden we het fijn jullie te kunnen helpen je weg je vinden in onze mooie stad. Gezellige cafes en restaurants in de buurt of in het centrum zullen we jullie helpen vinden. Voor ieder mogelijk probleem vinden we een oplossing. We staan volledig tot jullie beschikking. ,N/A,N/A,0%,f,2,t,t,Liskwartier,Entire rental unit,Entire home/apt,2,1.5 baths,2,[],$60.00 ,2,1125,19,4.32,4.32,4.26,4.42,4.37,4.32,4.05,f,0.23
3885660,Townhouse in Rotterdam · ★4.88 · 1 bedroom · 2 beds · 1.5 shared baths,,13768594,4/1/2014,Ik kom van Rotterdam Centrum maar ben verhuisd en woon nu iets buiten het centrum. Nesselande is mooi en ik geniet van het uitzicht. Door airbnb ontmoet ik mensen van over de hele wereld. Momenteel is het voor mij niet mogelijk om te reizen maar door Airbnb komt de wereld naar mij toe. Het trekt erg leuke mensen aan.,within an hour,100%,80%,t,2,t,t,Nesselande,Private room in townhouse,Private room,2,1.5 shared baths,2,[],$55.00 ,2,1125,138,4.88,4.83,4.87,4.94,4.97,4.52,4.81,f,1.22
4313919,Boutique hotel in Rotterdam · 1 bedroom · 2 beds · 1 private bath,"The Kop van Zuid is the place to be for architectural visits. The apartment is located between the bridges Erasmus Bridge and The Hef Bridge, both icons of the city.",9244807,10/5/2013,Two former journalists who started their own town house hotel in Rotterdam. ,within an hour,100%,39%,f,5,t,t,Kop van Zuid - Entrepot,Room in boutique hotel,Private room,2,1 private bath,2,[],$547.00 ,2,90,2,5,5,5,5,5,5,5,f,0.06
4430364,Rental unit in Rotterdam · ★4.97 · 2 bedrooms · 3 beds · 1.5 baths,"The apartment is situated in the building 'De Calypso' in the center of Rotterdam next to the square Schouburgplein. The shopping area (Lijnbaan), restaurants, nightlife, casino, musea, congress centre 'De Doelen', theater and cinema are within the immediate vicinity. But the park 'Wijkpark Het Oude Westen' is at your doorstep as well.",8691402,9/7/2013,,within an hour,100%,96%,t,1,t,t,Cool,Entire rental unit,Entire home/apt,4,1.5 baths,3,[],$166.00 ,3,21,236,4.97,4.99,5,4.99,4.98,4.98,4.91,f,2.12
4684683,Rental unit in Rotterdam · ★4.91 · 1 bedroom · 2 beds · 1.5 baths,"Welcome to the Graaf Florisstraat, (URL HIDDEN) in Rotterdam, within walking distance of the Central Station as well as the city centre and the Blijdorp Zoo. Bikes are for rent and you can relax in our quiet garden.",4661950,1/11/2013,"In de mooiste straat van Rotterdam, de Graaf Florisstraat, zijn we in december 2014 onze B&B gestart als liefhebberij. We houden van gastvrijheid, gezelligheid, reizen en relaxen. We zijn supertrots op Rotterdam, een stad die houdt van de mouwen opstropen en ondernemen. No nonsense mentaliteit, en superleuke, creatieve plekken te bezoeken. In onze stille stadstuin komen we tot rust met een drankje.",within an hour,100%,98%,t,1,t,t,Middelland,Private room in rental unit,Private room,3,1.5 baths,2,[],$110.00 ,1,1125,597,4.91,4.92,4.97,4.97,4.95,4.81,4.83,f,5.41
4921646,Home in Rotterdam · 3 bedrooms · 4 beds · 1.5 baths,"Kralingen is a chic gem set in the east of Rotterdam. With an expansive backyard, where the rest of the city is always welcome for a barbecue: the Kralingse Bos.<br /><br />The east of Rotterdam boasts the city’s biggest park: the Kralingse Bos. This green oasis is a major attraction for everyone seeking to flee the busy urban streets for some fresh air and peace and quiet. Not that it’s always quiet; the Kralingse Bos is often humming with pleasant activity on sunny weekend afternoons. Nature lovers enjoy a stroll through the forest. Sun-worshipers bask on the lake’s small beach. Toddlers splash around in the wading pool or play at the petting zoo. Bigger children will love exploring the climbing park. People rollerblade, jog and cycle to their heart’s content around the lake and go sailing on the lake, while snacks are served at tables on the waterfront terraces.",25348830,12/29/2014,"Ejal Breeman has founded several ICT firms, all with a focus on innovation, hardware development, telecommunications and integration of existing ICT systems.",within an hour,100%,100%,f,1,t,t,Kralingen Oost,Entire home,Entire home/apt,8,1.5 baths,4,[],,3,60,1,5,5,5,5,5,5,5,f,0.08
5074353,Townhouse in Rotterdam  · ★4.69 · 4 bedrooms · 4 beds · 2 baths,,59539064,2/20/2016,,N/A,N/A,N/A,f,1,t,t,Kralingen Oost,Entire townhouse,Entire home/apt,8,2 baths,4,[],$350.00 ,6,20,13,4.69,4.69,4.23,4.77,4.85,4.85,4.46,f,0.14
5156210,Home in Rotterdam · ★4.82 · 3 bedrooms · 4 beds · 2.5 baths,"Relaxed , close to lakes and close to city center",26658229,1/25/2015,,within a day,100%,80%,t,2,t,t,Hillegersberg Zuid,Entire home,Entire home/apt,6,2.5 baths,4,[],$158.00 ,3,1125,119,4.82,4.8,4.79,4.93,4.98,4.78,4.81,f,1.13
5216321,Rental unit in Rotterdam · ★4.34 · Studio · 1 bed · 1.5 baths,"The apartment is surrounded by all kinds of facilities. For example, historical Delftshaven is just 15 min walk. Nice green area like the beautiful Heemraadsingel is around the corner. All kinds of restaurants & shops you can find in just a few minutes walking. Of course if you like you can use our bikes. Also tram, metro & bus is available nearby and take you anywhere in the city.",23729777,11/14/2014,"Hello!
My name is Erik. I've lived in Rotterdam for the last 15 years. I used to be an artist, but for the last 10 years I have spent more & more time in India because of my interest in Indian culture. For this reason I'm able to offer my apartment for rent during my absence. I'm practising yoga meditation & I love vegetarian food. ",within an hour,100%,100%,f,2,t,t,Nieuwe Westen,Entire rental unit,Entire home/apt,2,1.5 baths,1,[],$69.00 ,2,550,350,4.34,4.49,3.92,4.77,4.81,4.43,4.4,f,3.25
5313738,Home in Rotterdam · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,,6926282,6/15/2013,,a few days or more,40%,42%,f,4,t,t,Nieuwe Westen,Private room in home,Private room,1,1 shared bath,1,[],$33.00 ,3,25,53,4.83,4.85,4.62,4.94,4.9,4.94,4.86,f,0.52
