id,name,neighborhood_overview,host_id,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
800960,Rental unit in Den Haag · ★4.71 · 1 bedroom · 1 bed · 1 bath,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our recommendations.",300966,11/27/2010,"I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,22,t,t,Huygenspark,Entire rental unit,Entire home/apt,2,1 bath,1,[],$216.00 ,1,1125,23,355,183,4.71,4.78,4.57,4.83,4.79,4.66,4.72,t,1.37
819029,Condo in The Hague · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,"International neighborhood, many restaurants, supermarkets and center in old city center. museums, thaters and dance theater within walking distance",541315,4/28/2011,"We are a friendly couple who live in the center of this beautiful city. Open-minded and easy going in life. We have a few trendy short Stay apartments right in the old city center of The Hague.  We are the place to stay When you are in need of accommodation. Whether it be for a business trip, an internship, a holiday or a transition period, we have plenty of possibilities. We have been around for a while and we know how to do things right. Service is our pleasure!

Our apartment is fully furnished, newly renovated and available for short term rentals Throughout the Year. Situated in the picturesque old city center of The Hague, within walking distance from both Central Station and Holland Spoor train station, it is the ideal 'home away from home'. Also within walking distance, one can find numerous at shops, grocery stores and restaurants. The all-in price includes furniture, fittings and fixtures, energy, water, internet connection, TV, service costs and a janitor. And of course there's a washing machine and a drier, pots and pans, bed linen, towels, a bathrobe, iron and ironing board, cups, plates and whatsoever.",within an hour,100%,100%,f,3,t,t,Zuidwal,Entire condo,Entire home/apt,2,1.5 baths,1,[],$115.00 ,2,1125,7,239,49,4.86,4.88,4.92,4.98,4.92,4.84,4.61,f,0.39
857470,Rental unit in Den Haag · ★4.64 · 1 bedroom · 1 bed · 1 bath,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",300966,11/27/2010,"I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,22,t,t,Huygenspark,Entire rental unit,Entire home/apt,2,1 bath,1,[],$246.00 ,1,1125,23,355,174,4.64,4.74,4.45,4.75,4.75,4.45,4.67,t,1.31
867183,Cottage in The Hague · ★4.63 · 1 bedroom · 3 beds · 1.5 baths,"The house is located in the popular “Statenkwartier”, known for its shops, food places and vibrant atmosphere, close to city and beach!",4558657,1/2/2013,"Dutchie gone Bostonian-and back, scientist, Jazz singer/songwriter, mother of 3. I love to host travelers and welcome them back as friends. This coach house has been in my family since the late 80s. I have lived there myself, wrote a PhD dissertation in its inspiring ambiance, welcomed my first born daughter (now 20),  and am keeping it -with love and dedication -as a welcome home away from home for your visits.",N/A,N/A,0%,f,5,t,t,Statenkwartier,Entire cottage,Entire home/apt,3,1.5 baths,3,[],,2,365,0,0,30,4.63,4.77,4.47,4.67,4.93,4.9,4.67,f,0.32
901609,Loft in The Hague · ★4.89 · 1 bedroom · 4 beds · 1 bath,"Very nice neighbourhood, right in the center, with many restaurants, pubs, shops, museums and parks.  Close to Scheveningen/beach, by tram, car or bicycle.",4817186,1/23/2013,"My husband Jurriaan and I love the good things in life: family, friends, art and nature. Since 40 years we live in this big classic house right in the center of The Hague. First with our children, now happily together on the first floor.  Jurriaan used to run an art gallery downstairs. We both love The Hague and enjoy having guests from all over the world in our loft on the top floor. Helping them to have a great holiday in this area.",within an hour,100%,83%,t,1,t,t,Kortenbos,Entire loft,Entire home/apt,4,1 bath,4,[],$149.00 ,4,30,20,33,286,4.89,4.93,4.94,4.95,4.97,4.97,4.85,f,2.24
1006742,Townhouse in The Hague · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,"The neighborhood is really quiet. Nearby are restaurant and shops, but also public transport.  It's a safe area to live and even late at night.<br />I can really advice a walk to the beach. It's only 10 minutes from the house.",5537414,3/19/2013,"Werkende moeder, ik doe sociaal-pedagogisch werk met kinderen. Eigen kinderen zijn het huis uit. Hobby's, fietsen, film, lezen, wandelen. Veel gereisd, Nepal, Thailand, Indonesië, Amerika, Afrika, en veel landen in Europa. 
",within a few hours,100%,27%,f,4,t,t,Bloemenbuurt-Oost,Private room in townhouse,Private room,2,1 shared bath,1,[],$39.00 ,2,365,2,4,133,4.73,4.68,4.77,4.84,4.82,4.66,4.75,f,1.02
1082476,Townhouse in The Hague · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,"It's a very nice neighborhood with shops just around the corner and a small park.  It's also safe to go out at night. There are a few bars and restaurants within walking distance.<br />Also the sea is really nearby, walking distance 10 to 15 minutes.",5537414,3/19/2013,"Werkende moeder, ik doe sociaal-pedagogisch werk met kinderen. Eigen kinderen zijn het huis uit. Hobby's, fietsen, film, lezen, wandelen. Veel gereisd, Nepal, Thailand, Indonesië, Amerika, Afrika, en veel landen in Europa. 
",within a few hours,100%,27%,f,4,t,t,Bloemenbuurt-Oost,Private room in townhouse,Private room,4,1 shared bath,1,[],$39.00 ,2,1125,1,184,38,4.76,4.87,4.79,4.89,4.86,4.59,4.68,f,0.3
1229850,Rental unit in Den Haag · ★4.57 · 1 bedroom · 1 bed · 1 bath,"We are close to the city centre, it’s just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is a public transportation hub right in front of the Tower with connections to places both in- and outside the Hague. In this authentic the Hague neighbourhood you will be able to feel like a local.We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",300966,11/27/2010,"I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,22,t,t,Huygenspark,Entire rental unit,Entire home/apt,2,1 bath,1,[],$194.00 ,1,1125,23,358,361,4.57,4.65,4.47,4.74,4.67,4.66,4.56,t,2.82
1237312,Rental unit in Den Haag · ★4.65 · 1 bedroom · 1 bed · 1 bath,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",300966,11/27/2010,"I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,22,t,t,Huygenspark,Entire rental unit,Entire home/apt,2,1 bath,1,[],$198.00 ,1,1125,22,351,174,4.65,4.68,4.53,4.8,4.7,4.69,4.68,t,1.36
1237332,Rental unit in Den Haag · ★4.67 · 1 bedroom · 1 bed · 1 bath,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",300966,11/27/2010,"I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,22,t,t,Huygenspark,Entire rental unit,Entire home/apt,2,1 bath,1,[],$177.00 ,1,1125,0,0,411,4.67,4.75,4.63,4.71,4.74,4.7,4.6,t,3.21
1237340,Rental unit in Den Haag · ★4.60 · 1 bedroom · 1 bed · 1 bath,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",300966,11/27/2010,"I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,22,t,t,Huygenspark,Entire rental unit,Entire home/apt,2,1 bath,1,[],$191.00 ,1,1125,25,360,447,4.6,4.72,4.55,4.8,4.75,4.69,4.65,t,3.49
1260071,Rental unit in The Hague · ★4.70 · 1 bedroom · 1 bed · 1 bath,"De mooiste groenste wijk achter de duinen in de mooiste stad achter de duinen : wat wil je nog meer. Je wordt gewekt door vogels en niet door stadse drukte. <br />Als je de drukte graag opzoekt: binnen 15 minuten (met tram, auto of fiets)  in het bruisende centrum van Den Haag zijn, party time in Scheveningen is op 10 minuten van hier. <br />De rust van het stille strand is op slechts 15 minuten wandelen.",6839100,6/10/2013,"Good taste, hospitality, humor and joy. 

We ( my husband Maurits and me) love to meet people from other countries, like to have a chat and also respect everybody's own space en privacy.",within a few hours,100%,92%,f,1,t,t,Vogelwijk,Entire rental unit,Entire home/apt,2,1 bath,1,[],$82.00 ,3,1125,2,253,93,4.7,4.82,4.67,4.91,4.92,4.86,4.4,f,0.74
1400206,Loft in Den Haag · ★4.75 · Studio · 4 beds · 1.5 baths,"On the edge of the center, in a multicultural neighbourhood, next to a Shisha lounge.",7543082,7/17/2013,"floating ;

enjoy   life   together ;

be   kind   open   respectful :)",within an hour,100%,94%,f,1,t,t,Schildersbuurt-Noord,Entire loft,Entire home/apt,5,1.5 baths,4,[],$159.00 ,1,28,0,0,287,4.75,4.84,4.79,4.9,4.95,4.75,4.64,f,3.2
1421301,Townhouse in The Hague · ★4.60 · 3 bedrooms · 3 beds · 1.5 baths,"Lively and very safe neighbourhood close to the city-center with shops, restaurants and large supermarket just around the corner. <br />Scheveningens famous sandy beaches are just a 15 minutes drive away.",7651238,7/22/2013,"I'm a graphic designer living with my husband and two daughters in one of the most popular neighboorhoods of The Hague. Close to the center and to the beach. We like traveling and have been to the most remote places in the world. I always have the ambition to find the best places to stay for our travel budget. Airbnb helped me with finding great places, so that's why I like to share my house with other travelers.",N/A,N/A,N/A,f,1,t,t,Zeeheldenkwartier,Entire townhouse,Entire home/apt,6,1.5 baths,3,[],$200.00 ,6,1125,0,21,15,4.6,4.71,4.64,4.79,4.79,4.57,4.71,f,0.13
1484856,Rental unit in The Hague · ★4.44 · Studio · 2 beds · 1 bath,,7805856,7/29/2013,"I am in my 4th year of my BA program, Entrepeneurship. Special interest in fair-trade en social businesses. I love to make people feel home in my home :) hope to meet you soon! ",a few days or more,20%,24%,f,1,t,t,Laakhaven-West,Entire rental unit,Entire home/apt,2,1 bath,2,[],$59.00 ,20,1125,12,163,101,4.44,4.59,4.36,4.65,4.75,4.57,4.39,f,0.8
1493624,Home in The Hague · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,"The neighbourhood is quiet, but shops, cafes and restaurants are around ther corner. The Peace Palace, the historical centre and several museums are within walking distance.",192354,8/5/2010,"I am an archaeologist, living in a house I like to share with people who appreciate style.",N/A,N/A,75%,f,2,t,t,Zeeheldenkwartier,Private room in home,Private room,1,1 shared bath,1,[],$30.00 ,1,1125,0,0,172,4.84,4.88,4.85,4.92,4.94,4.92,4.89,f,1.37
1497896,Townhouse in The Hague · ★4.71 · 3 bedrooms · 3 beds · 1.5 baths,"The fact that the playgrounds, beach and city are so close by. We love the petting zoo. The trams are a few blocks away and busses are right in front of the door and take you everywhere you need to go. Shops, groceries and cafes nearby.<br /><br />!Please note! Although you can easily park the parking in the street is not free. During the evening hours it is paid parking only. There is a parking machine in front of the house.",2361679,5/13/2012,I live in the Hague with my husband Barry and two children aged 18 and 13.,within a few hours,100%,100%,f,1,t,t,Eykenduinen,Entire townhouse,Entire home/apt,4,1.5 baths,3,[],,5,20,0,0,24,4.71,4.71,4.75,4.88,5,4.67,4.63,f,0.21
1501251,Villa in The Hague · ★4.31 · 1 bedroom · 3 beds · 1.5 shared baths,,7518101,7/16/2013,"Hoi ik ben Amelia en run een leuke B&B in Scheveningen vlakbij het strand, Circustheater, Kurhaus en boulevard. Carpe Diem is mijn motto en ik vind het prettig als mijn gasten het naar hun zin hebben. Ik verwacht wel dat gasten rekening houden met elkaar en met de buren. 
Onze accommodatie is niet geschikt voor mindervaliden en hulpbehoevenden. De tuin is privé, maar er is buiten bij de ingang een zitgelegenheid voor gasten. Huisdieren kunnen wij helaas niet toestaan. Toeristenbelasting dient ter plaatse liefst contact voldaan te worden. Voor tarief zie denhaag.nl. Parkeren is (behoudens Tapijtweg) overal betaald in Scheveningen. Wij kunnen faciliteren met aanmelden via gemeente-app tegen betaling. Parkeren is en blijft een eigen verantwoordelijkheid. Mocht ik niet bereikbaar zijn dan is er mijn man Andre of onze Sonja, die alles regelen. 
Bent u tevreden zeg het voort, heeft u klachten, vragen of wensen laat het ons dan direct weten a.u.b. Een prettig verblijf en veel plezier in Scheveningen wens ik alle gasten. Daar zet ik mij voor in en dat maakt het leuk!",within an hour,100%,77%,f,7,t,t,Belgisch Park,Private room in villa,Private room,3,1.5 shared baths,3,[],$110.00 ,1,1125,29,364,137,4.31,4.24,4.32,4.68,4.58,4.85,4.21,f,1.2
1720337,Townhouse in Den Haag · 1 bedroom · 1 bed · 2 baths,Our house is situated right behind the beach area and within 5 minutes walking distance you will be able to acces the beautiful dune landscape of The Hague.<br /><br />Within 15 minute biking distance you will reach the city Centre of The Hague including a wide variety of cultural sites and lovely restaurants.,8665880,9/6/2013,"Traveling, surfing, cooking, hospitality, restaurant business, ",N/A,N/A,0%,f,1,t,t,Belgisch Park,Entire townhouse,Entire home/apt,2,2 baths,1,[],$200.00 ,7,1125,0,0,0,,,,,,,,f,
1842203,Rental unit in The Hague · ★4.62 · 2 bedrooms · 1 bed · 1 bath,Sleutel halen op nummer 22,8860750,9/16/2013,"Toen we dit huis kochten wilden we er een luxe gastenverblijf bij hebben. We hebben dit gerealiseerd achter ons huis. Het staat regelmatig leeg en daarom verhuren we het aan gasten die er ook van willen genieten. We wonen zeer centraal in Scheveningen en alles is op loopafstand te doen. Het strand, circustheater en Kurhaus is  +/- 3 minuten lopen. Buurtsupers om de hoek. Bij het appartement zit ook een parkeerkaart.",within an hour,100%,96%,f,1,t,t,Scheveningen Badplaats,Entire rental unit,Entire home/apt,4,1 bath,1,[],$80.00 ,5,360,1,178,185,4.62,4.68,4.4,4.86,4.86,4.84,4.61,f,1.59
1858616,Rental unit in The Hague · ★4.64 · 1 bedroom · 2 beds · 1 bath,"The property is located close to all ministries, major businesses and a 8-minute walk from Central Station (CS) as well as the City Centre. In the street is a bus stop for bus lines to CS.  At 2 minutes there is tram bringing you in 20 minutes to the beach (ask the host).<br />Very close (2 minutes walking), at CS and in the city are supermarkets and restaurants and lunch rooms.",7128899,6/26/2013,"Econoom van de Erasmus Universiteit te Rotterdam, gestudeerd aan de Harvard University in (internationale) marketing. 20 jaar eigenaar van Internationaal Project Management en Advies bureau. 10 jaar eigenaar van een internationaal opererende machinefabriek,  machines met mijn patent. Ik was in 60 landen actief eerst als consultant later eigenaar/directeur. Nu help ik name start-ups. 
En verdien als verhuurder van appartementen.",within an hour,100%,98%,f,5,t,t,Nassaubuurt,Entire rental unit,Entire home/apt,2,1 bath,2,[],$65.00 ,3,1125,15,289,181,4.64,4.73,4.52,4.8,4.78,4.8,4.62,t,1.47
